Running with noise_level=0.15
Running with mu_offset=0.0
Device: cuda

Preprocessing with chromosome split:
  Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrX', 'ChrXI', 'ChrXIII', 'ChrXVI']
  Val chromosomes: ['ChrVIII', 'ChrXIV', 'ChrXV']
  Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXII']

Clipping outliers using 95th percentile * 1.5...
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)

Splitting data using pre-determined chromosomes...
Standardizing features: ['Centr']
Mean non-zero value before moving average: 0.2041
Mean non-zero value after moving average: 0.1597
Mean non-zero value before moving average: 0.1666
Mean non-zero value after moving average: 0.1294
Mean non-zero value before moving average: 0.1981
Mean non-zero value after moving average: 0.1554
Mean non-zero value before moving average: 0.1756
Mean non-zero value after moving average: 0.1360
Mean non-zero value before moving average: 0.2040
Mean non-zero value after moving average: 0.1608
Mean non-zero value before moving average: 0.1800
Mean non-zero value after moving average: 0.1399
Mean non-zero value before moving average: 0.1910
Mean non-zero value after moving average: 0.1453
Mean non-zero value before moving average: 0.1764
Mean non-zero value after moving average: 0.1376
Mean non-zero value before moving average: 0.1845
Mean non-zero value after moving average: 0.1428
Mean non-zero value before moving average: 0.5204
Mean non-zero value after moving average: 0.4935
Mean non-zero value before moving average: 0.4426
Mean non-zero value after moving average: 0.4470
Mean non-zero value before moving average: 0.5236
Mean non-zero value after moving average: 0.4860
Mean non-zero value before moving average: 0.4657
Mean non-zero value after moving average: 0.4614
Mean non-zero value before moving average: 0.5174
Mean non-zero value after moving average: 0.4866
Mean non-zero value before moving average: 0.4767
Mean non-zero value after moving average: 0.4720
Mean non-zero value before moving average: 0.5237
Mean non-zero value after moving average: 0.4840
Mean non-zero value before moving average: 0.4551
Mean non-zero value after moving average: 0.4565
Mean non-zero value before moving average: 0.4904
Mean non-zero value after moving average: 0.4694
Mean non-zero value before moving average: 0.2156
Mean non-zero value after moving average: 0.1712
Mean non-zero value before moving average: 0.1817
Mean non-zero value after moving average: 0.1428
Mean non-zero value before moving average: 0.2132
Mean non-zero value after moving average: 0.1689
Mean non-zero value before moving average: 0.1909
Mean non-zero value after moving average: 0.1493
Mean non-zero value before moving average: 0.2174
Mean non-zero value after moving average: 0.1736
Mean non-zero value before moving average: 0.1953
Mean non-zero value after moving average: 0.1551
Mean non-zero value before moving average: 0.2079
Mean non-zero value after moving average: 0.1602
Mean non-zero value before moving average: 0.1905
Mean non-zero value after moving average: 0.1509
Mean non-zero value before moving average: 0.1985
Mean non-zero value after moving average: 0.1557
Mean non-zero value before moving average: 0.2396
Mean non-zero value after moving average: 0.1890
Mean non-zero value before moving average: 0.1916
Mean non-zero value after moving average: 0.1508
Mean non-zero value before moving average: 0.2281
Mean non-zero value after moving average: 0.1786
Mean non-zero value before moving average: 0.2026
Mean non-zero value after moving average: 0.1583
Mean non-zero value before moving average: 0.2341
Mean non-zero value after moving average: 0.1855
Mean non-zero value before moving average: 0.2077
Mean non-zero value after moving average: 0.1632
Mean non-zero value before moving average: 0.2217
