Running with noise_level=0.90
Running with mu_offset=0.0
Device: cuda
MOVING AVERAGE: False

Preprocessing with chromosome split:
  Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrX', 'ChrXI', 'ChrXIII', 'ChrXVI']
  Val chromosomes: ['ChrVIII', 'ChrXIV', 'ChrXV']
  Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXII']

Clipping outliers using 95th percentile * 1.5...
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)

Splitting data using pre-determined chromosomes...
Standardizing features: ['Nucl']
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 4224
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 1480
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 1648

Dataset sizes after preprocessing:
  Train: 4224
  Val: 1480
  Test: 1648
  Eval strategy: VALIDATION + TEST

Applied denoising with 90.0% masking

Creating validation dataloader:
  Validation set size: 1480
  Batch size: 128
Applied denoising with 90.0% masking
  Dataloader created: 1480 samples, 12 batches

Creating test dataloader:
  Test set size: 1648
  Batch size: 128
Applied denoising with 90.0% masking
  Dataloader created: 1648 samples, 13 batches
Number of encoder layers: 1
Number of decoder layers (excluding heads): 1
Total number of layers including latent layer: 3
Epoch [1/92], Total Loss: 2.6599, NLL: 2.0737, Masked: 4.6154
Epoch [2/92], Total Loss: 2.1126, NLL: 1.7367, Masked: 2.9592
Epoch [3/92], Total Loss: 2.0791, NLL: 1.7071, Masked: 2.9299
Epoch [4/92], Total Loss: 2.0844, NLL: 1.7111, Masked: 2.9395
Epoch [5/92], Total Loss: 2.0788, NLL: 1.7080, Masked: 2.9203
Epoch [6/92], Total Loss: 2.0653, NLL: 1.6964, Masked: 2.9048
Epoch [7/92], Total Loss: 2.0489, NLL: 1.6847, Masked: 2.8681
Epoch [8/92], Total Loss: 2.0502, NLL: 1.6853, Masked: 2.8735
Epoch [9/92], Total Loss: 2.0326, NLL: 1.6734, Masked: 2.8284
Epoch [10/92], Total Loss: 2.0073, NLL: 1.6521, Masked: 2.7969
Epoch [11/92], Total Loss: 1.9971, NLL: 1.6442, Masked: 2.7787
Epoch [12/92], Total Loss: 1.9874, NLL: 1.6368, Masked: 2.7603
Epoch [13/92], Total Loss: 1.9816, NLL: 1.6327, Masked: 2.7472
Epoch [14/92], Total Loss: 1.9794, NLL: 1.6318, Masked: 2.7363
Epoch [15/92], Total Loss: 1.9729, NLL: 1.6265, Masked: 2.7277
Epoch [16/92], Total Loss: 1.9723, NLL: 1.6273, Masked: 2.7167
Epoch [17/92], Total Loss: 1.9662, NLL: 1.6211, Masked: 2.7168
Epoch [18/92], Total Loss: 1.9598, NLL: 1.6148, Masked: 2.7165
Epoch [19/92], Total Loss: 1.9572, NLL: 1.6145, Masked: 2.6980
Epoch [20/92], Total Loss: 1.9501, NLL: 1.6086, Masked: 2.6893
Epoch [21/92], Total Loss: 1.9518, NLL: 1.6114, Masked: 2.6805
Epoch [22/92], Total Loss: 1.9408, NLL: 1.6022, Masked: 2.6664
Epoch [23/92], Total Loss: 1.9396, NLL: 1.6025, Masked: 2.6549
Epoch [24/92], Total Loss: 1.9349, NLL: 1.5984, Masked: 2.6494
Epoch [25/92], Total Loss: 1.9295, NLL: 1.5949, Masked: 2.6346
Epoch [26/92], Total Loss: 1.9292, NLL: 1.5947, Masked: 2.6344
Epoch [27/92], Total Loss: 1.9254, NLL: 1.5913, Masked: 2.6308
