Task 4: Running with bin_size=17
Device: cuda
MOVING AVERAGE: False

Preprocessing with chromosome split:
  Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrX', 'ChrXI', 'ChrXIII', 'ChrXVI']
  Val chromosomes: ['ChrVIII', 'ChrXIV', 'ChrXV']
  Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXII']

Clipping outliers using 95th percentile * 1.5...
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)

Splitting data using pre-determined chromosomes...
Standardizing features: ['Nucl']
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 4224
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 1480
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 1648

Dataset sizes after preprocessing:
  Train: 4224
  Val: 1480
  Test: 1648
  Eval strategy: VALIDATION + TEST

Applied denoising with 15.0% masking

Creating validation dataloader:
  Validation set size: 1480
  Batch size: 128
Applied denoising with 15.0% masking
  Dataloader created: 1480 samples, 12 batches

Creating test dataloader:
  Test set size: 1648
  Batch size: 128
Applied denoising with 15.0% masking
  Dataloader created: 1648 samples, 13 batches
Number of encoder layers: 1
Number of decoder layers (excluding heads): 1
Total number of layers including latent layer: 3
Epoch [1/92], Total Loss: 4.3644, NLL: 3.5267, Masked: 6.5964
Epoch [2/92], Total Loss: 47233.4568, NLL: 1.9137, Masked: 371901.9149
Epoch [3/92], Total Loss: 2.3141, NLL: 1.9453, Masked: 2.9039
Epoch [4/92], Total Loss: 2.3042, NLL: 1.9385, Masked: 2.8796
Epoch [5/92], Total Loss: 2.2965, NLL: 1.9329, Masked: 2.8629
Epoch [6/92], Total Loss: 2.2859, NLL: 1.9253, Masked: 2.8395
Epoch [7/92], Total Loss: 2.2516, NLL: 1.8972, Masked: 2.7902
Epoch [8/92], Total Loss: 2.0855, NLL: 1.7294, Masked: 2.8040
Epoch [9/92], Total Loss: 1.9654, NLL: 1.6096, Masked: 2.8018
Epoch [10/92], Total Loss: 1.9375, NLL: 1.5891, Masked: 2.7439
Epoch [11/92], Total Loss: 1.9176, NLL: 1.5748, Masked: 2.6998
Epoch [12/92], Total Loss: 1.8920, NLL: 1.5549, Masked: 2.6547
Epoch [13/92], Total Loss: 1.8848, NLL: 1.5498, Masked: 2.6377
Epoch [14/92], Total Loss: 1.8763, NLL: 1.5426, Masked: 2.6276
Epoch [15/92], Total Loss: 1.8660, NLL: 1.5355, Masked: 2.6023
Epoch [16/92], Total Loss: 1.8588, NLL: 1.5300, Masked: 2.5888
Epoch [17/92], Total Loss: 1.8497, NLL: 1.5241, Masked: 2.5633
Epoch [18/92], Total Loss: 1.8346, NLL: 1.5142, Masked: 2.5229
Epoch [19/92], Total Loss: 1.8314, NLL: 1.5105, Masked: 2.5271
Epoch [20/92], Total Loss: 1.8183, NLL: 1.5023, Masked: 2.4888
Epoch [21/92], Total Loss: 1.8095, NLL: 1.4971, Masked: 2.4604
Epoch [22/92], Total Loss: 1.8039, NLL: 1.4927, Masked: 2.4500
Epoch [23/92], Total Loss: 1.7999, NLL: 1.4892, Masked: 2.4462
Epoch [24/92], Total Loss: 1.7977, NLL: 1.4892, Masked: 2.4290
Epoch [25/92], Total Loss: 1.8035, NLL: 1.4914, Masked: 2.4571
Epoch [26/92], Total Loss: 1.7928, NLL: 1.4856, Masked: 2.4187
