gene_id,gene_name,chromosome,start,end,essentiality,weighted_mean_mu_z
YIL107C,PFK26,Chromosome_IX,163278,165761,False,-0.12227717252728056
YIR007W,EGH1,Chromosome_IX,370704,372998,False,0.09088873768971188
YIL086C,YIL086C,Chromosome_IX,200153,200461,False,0.9260822203539223
YIL043C,CBR1,Chromosome_IX,274072,274926,False,0.18500606467271175
YIL071W-A,YIL071W-A,Chromosome_IX,228550,229026,False,-0.006312964567315249
YIL044C,AGE2,Chromosome_IX,272950,273846,False,-0.40241911538847075
YIR020W-A,YIR020W-A,Chromosome_IX,394917,395159,False,0.7154978517333418
YIL060W,YIL060W,Chromosome_IX,246392,246826,False,-0.08716072953953151
YIL108W,YIL108W,Chromosome_IX,160887,162977,False,0.3872429613794244
YIL146C,ATG32,Chromosome_IX,74184,75773,False,-0.25144658285517574
YIL031W,ULP2,Chromosome_IX,292633,295737,True,-0.46487229600240065
YIL151C,ESL1,Chromosome_IX,57338,60694,False,-0.1940343708190947
YIR002C,MPH1,Chromosome_IX,357415,360396,False,0.4656192131424047
YIL153W,RRD1,Chromosome_IX,55198,56379,False,-0.5594972970355945
YIL063C,YRB2,Chromosome_IX,242761,243744,True,-0.552445964368729
YIL148W,RPL40A,Chromosome_IX,68708,69528,False,-0.6198884825371433
YIL021C-A,YIL021C-A,Chromosome_IX,313199,313468,False,-0.6781719235108903
YIL025C,YIL025C,Chromosome_IX,308201,308575,False,-0.18079104857285713
YIL049W,DFG10,Chromosome_IX,260158,260919,False,-0.5998967370514449
YIR008C,PRI1,Chromosome_IX,373077,374306,True,-0.5898503971476243
YIL145C,PAN6,Chromosome_IX,76354,77283,False,-0.3033589135051777
YIR036W-A,YIR036W-A,Chromosome_IX,422635,423036,False,1.3763304739362914
YIL041W,GVP36,Chromosome_IX,276525,277505,False,-0.12033807172871216
YIL098C,FMC1,Chromosome_IX,179772,180239,False,-0.28763395485153354
YIL047C-A,YIL047C-A,Chromosome_IX,265099,265467,False,1.2867822033159444
YIL028W,YIL028W,Chromosome_IX,302100,302498,False,0.09363737092339712
YIL065C,FIS1,Chromosome_IX,241308,241775,False,0.5818843425963162
YIL014C-A,YIL014C-A,Chromosome_IX,325212,325526,False,-0.30832827305690313
YIL173W,VTH1,Chromosome_IX,11492,16141,False,-0.11633633412567446
YIL123W,SIM1,Chromosome_IX,128151,129581,False,-0.19860376916442676
YIR039C,YPS6,Chromosome_IX,430498,432111,False,-0.326315977428143
YIR021W,MRS1,Chromosome_IX,397294,398385,False,-0.19936205360961015
YIL177W-A,YIL177W-A,Chromosome_IX,846,1328,False,-0.007527867121445578
YIL067C,YIL067C,Chromosome_IX,235724,237760,False,-0.21282871722229255
YIL110W,HPM1,Chromosome_IX,156045,157178,False,-0.1058062281774209
YIL034C,CAP2,Chromosome_IX,289226,290089,False,-0.5798657646345481
YIL069C,RPS24B,Chromosome_IX,231553,232369,False,-0.5687526591437274
YIL134C-A,YIL134C-A,Chromosome_IX,96522,96725,False,2.341120828046676
YIL090W,ICE2,Chromosome_IX,193595,195070,False,0.047688935019869094
YIL094C,LYS12,Chromosome_IX,186517,187632,False,-0.2552216529449928
YIL112W,HOS4,Chromosome_IX,151595,154846,False,0.1653864732812409
YIL100C-A,YIL100C-A,Chromosome_IX,177343,177681,False,2.346247367037941
YIL003W,CFD1,Chromosome_IX,349122,350003,True,-0.25005620972351456
YIL169C,CSS1,Chromosome_IX,23119,26106,False,-0.3801609670023086
YIL154C,IMP21,Chromosome_IX,53981,55021,False,0.9498706415901823
YIL075C,RPN2,Chromosome_IX,217863,220700,True,-0.5905507816177783
YIR017W-A,YIR017W-A,Chromosome_IX,383566,384165,False,3.332464534554848
YIL138C,TPM2,Chromosome_IX,89230,89715,False,-0.4470162811794407
YIR016W,YIR016W,Chromosome_IX,382628,383425,False,2.291827695952694
YIR003W,AIM21,Chromosome_IX,360885,362924,False,0.19441930583050343
YIL070C,MAM33,Chromosome_IX,230272,231072,False,-0.007147282677910818
YIL058W,YIL058W,Chromosome_IX,246914,247198,False,1.4037309369469677
YIL104C,SHQ1,Chromosome_IX,169982,171505,True,-0.6058820814296002
YIR013C,GAT4,Chromosome_IX,380019,380384,False,2.143161747921834
YIL088C,AVT7,Chromosome_IX,197931,199403,False,0.15206346636842258
YIL039W,TED1,Chromosome_IX,278426,279847,False,0.8023615474798836
YIR036C,IRC24,Chromosome_IX,422074,422865,False,1.0556872212765576
YIL100W,YIL100W,Chromosome_IX,177373,177726,False,2.753417654978286
YIL142W,CCT2,Chromosome_IX,83302,84885,True,-0.6637896190445687
YIL172C,IMA3,Chromosome_IX,16784,18553,False,-0.14497712246621378
YIL134W,FLX1,Chromosome_IX,97395,98330,False,-0.0830473052844739
YIL139C,REV7,Chromosome_IX,87979,88716,False,-0.1536823407384358
YIL030C,SSM4,Chromosome_IX,296050,300009,False,-0.035040200928640214
YIL035C,CKA1,Chromosome_IX,287790,288908,False,-0.2394014735264509
YIR019C,FLO11,Chromosome_IX,389572,393675,False,-0.1585248873654722
YIL125W,KGD1,Chromosome_IX,122689,125733,False,-0.1790489295127228
YIR004W,DJP1,Chromosome_IX,363221,364519,False,0.4439720527473987
YIL087C,AIM19,Chromosome_IX,199646,200119,False,0.665381717130736
YIR001C,SGN1,Chromosome_IX,356143,356895,False,0.17654576861033064
YIL061C,SNP1,Chromosome_IX,244657,245559,True,-0.3973263408469369
YIL007C,NAS2,Chromosome_IX,342994,343656,False,0.8747198284799371
YIL111W,COX5B,Chromosome_IX,155222,155765,False,-0.31501821872152447
YIL109C,SEC24,Chromosome_IX,157385,160165,True,-0.6268915017348259
YIL053W,GPP1,Chromosome_IX,255115,255867,False,0.20065154927853057
YIL023C,YKE4,Chromosome_IX,309386,310426,False,1.7895637295023743
YIL066W-A,YIL066W-A,Chromosome_IX,237366,237809,False,-0.1592448772269984
YIL163C,YIL163C,Chromosome_IX,36899,37252,False,0.49974541431937375
