gene_id,gene_name,chromosome,start,end,essentiality,weighted_mean_mu_z
YIL107C,PFK26,Chromosome_IX,163278,165761,False,-0.1457475224962647
YIR007W,EGH1,Chromosome_IX,370704,372998,False,0.10462767791284622
YIL086C,YIL086C,Chromosome_IX,200153,200461,False,0.7209329244464134
YIL043C,CBR1,Chromosome_IX,274072,274926,False,-0.041031864347178655
YIL071W-A,YIL071W-A,Chromosome_IX,228550,229026,False,-0.45734309785124283
YIL044C,AGE2,Chromosome_IX,272950,273846,False,-0.3020986868600567
YIR020W-A,YIR020W-A,Chromosome_IX,394917,395159,False,0.24804890543504873
YIL060W,YIL060W,Chromosome_IX,246392,246826,False,-0.33968127735110165
YIL108W,YIL108W,Chromosome_IX,160887,162977,False,0.5001409422442304
YIL146C,ATG32,Chromosome_IX,74184,75773,False,-0.40367278862222444
YIL031W,ULP2,Chromosome_IX,292633,295737,True,-0.5372217697063472
YIL151C,ESL1,Chromosome_IX,57338,60694,False,-0.14448735560131157
YIR002C,MPH1,Chromosome_IX,357415,360396,False,0.4404565007429913
YIL153W,RRD1,Chromosome_IX,55198,56379,False,-0.5263713937155242
YIL063C,YRB2,Chromosome_IX,242761,243744,True,-0.7355819260016808
YIL148W,RPL40A,Chromosome_IX,68708,69528,False,-0.5099988099039516
YIL021C-A,YIL021C-A,Chromosome_IX,313199,313468,False,-0.799839750803187
YIL025C,YIL025C,Chromosome_IX,308201,308575,False,-0.28655432480206916
YIL049W,DFG10,Chromosome_IX,260158,260919,False,-0.5994515251522357
YIR008C,PRI1,Chromosome_IX,373077,374306,True,-0.7776774499150645
YIL145C,PAN6,Chromosome_IX,76354,77283,False,-0.42457027648603496
YIR036W-A,YIR036W-A,Chromosome_IX,422635,423036,False,1.058643638312174
YIL041W,GVP36,Chromosome_IX,276525,277505,False,0.25385340442832327
YIL098C,FMC1,Chromosome_IX,179772,180239,False,-0.28452919228195805
YIL047C-A,YIL047C-A,Chromosome_IX,265099,265467,False,0.7945947224957632
YIL028W,YIL028W,Chromosome_IX,302100,302498,False,-0.06874547302379738
YIL065C,FIS1,Chromosome_IX,241308,241775,False,0.5001192420394921
