gene_id,gene_name,chromosome,start,end,essentiality,weighted_mean_mu_z
YDR487C,RIB3,Chromosome_IV,1428354,1428980,True,-0.7569637043825708
YDR052C,DBF4,Chromosome_IV,558511,560625,True,-0.7136225147811917
YDR529C,QCR7,Chromosome_IV,1496165,1496548,False,-0.4486297919291213
YDR159W,SAC3,Chromosome_IV,771877,775782,False,-0.47782496353003606
YDR272W,GLO2,Chromosome_IV,1009010,1009834,False,0.13427652009811164
YDR263C,DIN7,Chromosome_IV,994242,995534,False,-0.07649276227486487
YDR460W,TFB3,Chromosome_IV,1383811,1384776,True,-0.6862080851128145
YDR019C,GCV1,Chromosome_IV,484163,485365,False,0.3474306410011183
YDR114C,YDR114C,Chromosome_IV,681924,682226,False,0.63281628344322
YDR096W,GIS1,Chromosome_IV,637139,639823,False,0.2719930475850899
YDR296W,MHR1,Chromosome_IV,1055212,1055892,False,-0.10972881900987524
YDR119W,VBA4,Chromosome_IV,688227,690533,False,0.24477567969512506
YDR535C,YDR535C,Chromosome_IV,1506606,1507362,False,1.4342571949241776
YDR305C,HNT2,Chromosome_IV,1072746,1073488,False,0.8093110985768799
YDR034C-A,YDR034C-A,Chromosome_IV,520516,520692,False,-0.16811884691431034
YDR443C,SSN2,Chromosome_IV,1345676,1349938,False,0.46308477658008423
YDR153C,ENT5,Chromosome_IV,766736,767971,False,-0.05757862338056149
YDL157C,DMO2,Chromosome_IV,174232,174588,False,0.08145115746652506
YDR227W,SIR4,Chromosome_IV,917571,921647,False,-0.480477566029108
YDR536W,STL1,Chromosome_IV,1508005,1509714,False,0.6441678499335851
YDL247W,MPH2,Chromosome_IV,5985,7814,False,-0.34042549909136743
YDL036C,PUS9,Chromosome_IV,387513,388901,False,0.5473620785821102
YDL185C-A,YDL185C-A,Chromosome_IV,126608,126835,False,-0.2449107718876464
YDL097C,RPN6,Chromosome_IV,285391,286695,True,-0.4958756902613308
YDR484W,VPS52,Chromosome_IV,1422763,1424688,False,-0.41428427973476817
YDL067C,COX9,Chromosome_IV,334217,334396,False,0.355644565648621
YDR380W,ARO10,Chromosome_IV,1234218,1236125,False,0.06563976112552605
YDR319C,YFT2,Chromosome_IV,1105003,1105827,False,0.417922906107774
YDL064W,UBC9,Chromosome_IV,337487,338070,True,-0.2765860978017277
YDL225W,SHS1,Chromosome_IV,52445,54100,False,-0.09763732811588509
